#---
#profile: tabular-data-package
#name: shedding
#title: Temperature-specific shedding success of Schistosoma mansoni cercaria from
#  Biomphalaria glabrata snails
#author: K.H. Nguyen, P.H. Boersch-Supan, V.J. Harwood, J.R. Rohr
#path: https://github.com/pboesu/schistosomiasis
#fields:
#- name: temperature
#  type: number
#- name: variable
#  type: string
#- name: snail_id
#  type: string
#  levels:
#  - '1'
#  - '10'
#  - '101'
#  - '102'
#  - '103'
#  - '105'
#  - '107'
#  - '108'
#  - '109'
#  - '11'
#  - '110'
#  - '111'
#  - '112'
#  - '113'
#  - '114'
#  - '116'
#  - '117'
#  - '12'
#  - '120'
#  - '121'
#  - '122'
#  - '123'
#  - '125'
#  - '127'
#  - '13'
#  - '130'
#  - '131'
#  - '133'
#  - '134'
#  - '135'
#  - '136'
#  - '138'
#  - '14'
#  - '140'
#  - '142'
#  - '143'
#  - '145'
#  - '146'
#  - '147'
#  - '148'
#  - '150'
#  - '153'
#  - '154'
#  - '155'
#  - '158'
#  - '159'
#  - '16'
#  - '160'
#  - '161'
#  - '162'
#  - '166'
#  - '170'
#  - '173'
#  - '18'
#  - '20'
#  - '21'
#  - '25'
#  - '26'
#  - '28'
#  - '29'
#  - '3'
#  - '31'
#  - '32'
#  - '36'
#  - '38'
#  - '39'
#  - '4'
#  - '42'
#  - '43'
#  - '45'
#  - '47'
#  - '49'
#  - '5'
#  - '52'
#  - '53'
#  - '54'
#  - '55'
#  - '57'
#  - '6'
#  - '60'
#  - '62'
#  - '64'
#  - '65'
#  - '70'
#  - '71'
#  - '72'
#  - '73'
#  - '74'
#  - '75'
#  - '76'
#  - '77'
#  - '78'
#  - '79'
#  - '8'
#  - '80'
#  - '81'
#  - '84'
#  - '85'
#  - '88'
#  - '89'
#  - '9'
#  - '90'
#  - '92'
#  - '94'
#  - '97'
#  - '98'
#  - '99'
#- name: replicate_id
#  type: string
#- name: value
#  type: number
#- name: source
#  type: string
#--- 
temperature,variable,snail_id,replicate_id,value,source
5,cercariae_count_2h,77,Third,0,Nguyen2020
5,cercariae_count_2h,78,Third,0,Nguyen2020
5,cercariae_count_2h,97,Third,0,Nguyen2020
5,cercariae_count_2h,113,Third,0,Nguyen2020
5,cercariae_count_2h,121,Third,0,Nguyen2020
5,cercariae_count_2h,140,Third,0,Nguyen2020
5,cercariae_count_2h,155,Third,0,Nguyen2020
5,cercariae_count_2h,158,Third,0,Nguyen2020
5,cercariae_count_2h,161,Third,0,Nguyen2020
9,cercariae_count_2h,4,Third,0,Nguyen2020
9,cercariae_count_2h,10,Third,0,Nguyen2020
9,cercariae_count_2h,13,Third,0,Nguyen2020
9,cercariae_count_2h,29,Third,0,Nguyen2020
9,cercariae_count_2h,38,Third,0,Nguyen2020
9,cercariae_count_2h,88,Third,0,Nguyen2020
9,cercariae_count_2h,107,Third,0,Nguyen2020
9,cercariae_count_2h,112,Third,0,Nguyen2020
9,cercariae_count_2h,122,Third,0,Nguyen2020
9,cercariae_count_2h,153,Third,0,Nguyen2020
9,cercariae_count_2h,166,Third,0,Nguyen2020
9,cercariae_count_2h,170,Third,0,Nguyen2020
13,cercariae_count_2h,32,Third,0,Nguyen2020
13,cercariae_count_2h,53,Third,128,Nguyen2020
13,cercariae_count_2h,54,Third,0,Nguyen2020
13,cercariae_count_2h,71,Third,0,Nguyen2020
13,cercariae_count_2h,79,Third,0,Nguyen2020
13,cercariae_count_2h,94,Third,132,Nguyen2020
13,cercariae_count_2h,99,Third,88,Nguyen2020
13,cercariae_count_2h,105,Third,0,Nguyen2020
13,cercariae_count_2h,109,Third,0,Nguyen2020
13,cercariae_count_2h,146,Third,0,Nguyen2020
13,cercariae_count_2h,159,Third,0,Nguyen2020
17,cercariae_count_2h,16,Third,4,Nguyen2020
17,cercariae_count_2h,21,Third,672,Nguyen2020
17,cercariae_count_2h,43,Third,436,Nguyen2020
17,cercariae_count_2h,45,Third,1200,Nguyen2020
17,cercariae_count_2h,49,Third,0,Nguyen2020
